metric,value
tag,P1_final_5f
eval_noise,mixed
snr_clean_auroc,0.9151
snr_clean_sens95,0.6957
snr_24dB_auroc,0.915
snr_24dB_sens95,0.6986
snr_18dB_auroc,0.9182
snr_18dB_sens95,0.687
snr_12dB_auroc,0.9166
snr_12dB_sens95,0.6928
snr_6dB_auroc,0.9149
snr_6dB_sens95,0.6754
snr_0dB_auroc,0.8936
snr_0dB_sens95,0.6
snr_-6dB_auroc,0.8595
snr_-6dB_sens95,0.4609
ext_CACHET_auroc,0.9937
ext_CACHET_sens95,0.9772
ext_INCART_auroc,0.2838
ext_INCART_sens95,0.0148
ext_STAFF_auroc,0.4998
ext_STAFF_sens95,0.0456
ext_LTST_auroc,0.6435
ext_LTST_sens95,0.231
