model,n_leads,mean_auroc,std_auroc,min_auroc,max_auroc
iii-mixed,1,0.9062,0.0379,0.8409,0.9551
iii-mixed,2,0.9390,0.0092,0.9109,0.9528
iii-mixed,3,0.9433,0.0033,0.9355,0.9480
iii-mixed,4,0.9431,0.0023,0.9376,0.9478
iii-mixed,5,0.9446,0.0017,0.9402,0.9471
iii-mixed,6,0.9447,0.0020,0.9416,0.9500
iii-mixed,7,0.9451,0.0023,0.9413,0.9492
iii-mixed,8,0.9446,0.0020,0.9405,0.9488
iii-mixed,9,0.9448,0.0014,0.9423,0.9475
iii-mixed,10,0.9449,0.0015,0.9423,0.9483
iii-mixed,11,0.9442,0.0013,0.9416,0.9467
iii-mixed,12,0.9440,0.0000,0.9440,0.9440
